pID,condition,section,seenRed,seenBlue,e0,e10,e20,e30,e40,e50,e60,e70,e80,e90,e100,age,gender,botCheck,time,chipsOrder,actuallyEstimated
28,five,five,4,1,0.0009,0.0023,0.0053,0.0073,0.0081,0.0969,0.0909,0.0948,0.3962,0.2041,0.0931,30,female,1,102.18,22212,1
29,all,five,4,1,0.0852,0.0128,0.08,0.0826,0.1395,0.0904,0.0023,0.0387,0.1291,0.2852,0.0542,40,male,1,170.87,22122,1
29,all,prior,0,0,0.0331,0.097,0.0754,0.0851,0.1028,0.1216,0.2011,0.0659,0.0665,0.0806,0.0709,40,male,1,170.87,,1
29,all,unlimited,8,2,0.002,0.0126,0.139,0.0492,0.1243,0.1335,0.1243,0.1445,0.0676,0.1885,0.0145,40,male,1,170.87,2212222122,1
30,unlimited,unlimited,15,4,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.1383,0.3767,0.3872,0.0122,0.0122,37,female,1,262.65,2212222221221220000,1
31,all,five,4,1,0.0028,0.1878,0.0006,0.0002,0.0031,0.0058,0.0026,0.0026,0.7921,0.0004,0.002,42,male,1,247.88,12222,1
31,all,prior,0,0,0.0063,0.0063,0.0063,0.0063,0.3967,0.0063,0.0063,0.5463,0.0063,0.0063,0.0063,42,male,1,247.88,,1
31,all,unlimited,10,3,0.0026,0.0012,0.1945,0.001,0,0,0.0014,0.0014,0.798,0,0,42,male,1,247.88,1222222212212,1
32,unlimited,unlimited,4,1,0.085,0.1222,0,0,0,0,0.0114,0.7265,0.0379,0.0011,0.0158,44,female,1,188.16,21222,1
33,five,five,4,1,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0016,0.5991,0.3963,0.0004,20,male,1,125.42,12222,1
34,unlimited,unlimited,8,2,0.0006,0.0087,0.0147,0.0179,0.0215,0.0189,0.0616,0.0744,0.6974,0.081,0.0033,45,female,1,253.19,2122212222,1
35,five,five,4,1,0.0329,0.0439,0,0.0137,0.0329,0.0302,0.0507,0,0.7958,0,0,27,female,1,206.95,22221,1
36,five,five,4,1,0.0027,0.0068,0.04,0.0433,0.0692,0.0947,0.2553,0.3911,0.0633,0.0267,0.0068,25,male,1,96.36,22122,1
37,unlimited,unlimited,8,2,0,0,0,0,0,0.09,0.0953,0.1609,0.5965,0.0573,0,18,male,1,233.96,1222222122,1
38,all,five,4,1,0.0027,0.002,0.0026,0.0367,0.0629,0.1104,0.1487,0.1989,0.2532,0.1813,0.0006,46,male,1,347.91,21222,1
38,all,prior,0,0,0.0314,0.0495,0.0628,0.0941,0.1435,0.225,0.1639,0.093,0.0591,0.0581,0.0197,46,male,1,347.91,,1
38,all,unlimited,4,1,0.0053,0.0003,0.0019,0.0487,0.0835,0.1,0.1282,0.1781,0.262,0.1841,0.0079,46,male,1,347.91,21222,1
39,unlimited,unlimited,8,2,0.0627,0.0043,0.021,0.0043,0.0043,0.0043,0.0043,0.021,0.7974,0.0741,0.0026,19,male,1,119.28,2222122221,1
40,all,five,4,1,0.0007,0.3536,0.2878,0.2222,0.0756,0.0489,0.0016,0.0016,0.0033,0.0029,0.0017,41,female,1,436.36,12222,1
40,all,prior,0,0,0,0.5066,0.2455,0.1645,0.0833,0,0,0,0,0,0,41,female,1,436.36,,1
40,all,unlimited,28,7,0.0005,0.0025,0.0015,0.0031,0.0855,0.2995,0.601,0.0008,0.0022,0.0004,0.003,41,female,1,436.36,12222212221222200000000000000000000,1
41,unlimited,unlimited,10,3,0.1565,0.1197,0.1455,0.0147,0.011,0.1547,0.0092,0.1142,0.1676,0.0018,0.105,40,female,0,85.99,2212222221212,0
42,unlimited,unlimited,20,5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.2983,0.3969,0.2995,0.0007,42,male,1,310.53,2221222221222210000000000,1
43,unlimited,unlimited,5,2,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.1917,0.2978,0.2814,0.0657,0.0233,21,male,1,142.21,1222212,1
44,five,five,4,1,0.0028,0.0028,0.0028,0.0028,0.0845,0.2164,0.1421,0.3266,0.185,0.0315,0.0028,18,male,1,142.38,22212,1
45,five,five,4,1,0,0,0,0.0233,0.68,0.2133,0.0833,0,0,0,0,23,male,1,150.73,12222,1
46,unlimited,unlimited,17,5,0.0167,0.0233,0.01,0.0233,0.0133,0.0233,0.1667,0.1999,0.2534,0.27,0,40,male,1,142.43,2122222212212220000000,1
47,all,five,4,1,0,0,0,0,0.0467,0.1252,0.1897,0.3188,0.3197,0,0,21,male,1,231.01,22212,1
47,all,prior,0,0,0.0028,0.0046,0.0029,0.0032,0.2431,0.4967,0.2422,0.0011,0.002,0.0008,0.0006,21,male,1,231.01,,1
47,all,unlimited,30,7,0,0,0,0,0,0,0,0,1,0,0,21,male,1,231.01,2221222221122220000000000000000000000,1
48,five,five,4,1,0,0,0,0,0.0863,0.1453,0.197,0.3496,0.1856,0.0361,0,20,female,1,228.38,22212,1
49,all,five,4,1,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.468,0.46,0.008,0.008,26,female,0,350.07,21222,1
49,all,prior,0,0,0.0522,0.1007,0.0138,0.1141,0.3636,0.0188,0.1124,0.004,0.0238,0.0589,0.1375,26,female,0,350.07,,1
49,all,unlimited,12,3,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0487,0.3807,0.5173,0.0067,26,female,0,350.07,212222222122221,1
50,unlimited,unlimited,31,7,0.017,0.017,0.017,0.017,0.017,0.017,0.13,0.2517,0.4824,0.017,0.017,26,female,1,153.22,22221122222212200000000000000000000000,1
51,all,five,4,1,0.1342,0.0249,0.1354,0.0999,0.1163,0.0371,0.0122,0.1291,0.0901,0.0876,0.1333,31,male,1,154.58,22122,1
51,all,prior,0,0,0.0231,0.1497,0.125,0.1049,0.037,0.071,0.0756,0.1173,0.0972,0.1512,0.0478,31,male,1,154.58,,0
51,all,unlimited,12,3,0.1096,0.0597,0.1423,0,0.1372,0.0201,0.07,0.1634,0.1782,0.0597,0.0597,31,male,1,154.58,221222212221222,1
52,five,five,4,1,0.0348,0.0227,0.0209,0.0157,0.0671,0.099,0.1367,0.1765,0.2148,0.1214,0.0904,27,male,1,223.99,22122,1
53,unlimited,unlimited,4,1,0.023,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.797,0.02,0.02,42,female,1,100.01,12222,1
54,unlimited,unlimited,52,13,0.002,0.0225,0.0209,0.0212,0.022,0.0228,0.0224,0.0221,0.7987,0.0224,0.0229,28,female,1,605.78,22221212222212200000000000000000000000000000000000000000000000000,1
55,unlimited,unlimited,12,4,0.0044,0.0044,0.0044,0.0038,0.023,0.0623,0.1677,0.3516,0.2441,0.1341,0,28,male,1,158.32,2212212222212220,1
56,five,five,4,1,0.0242,0.0242,0.07,0.0943,0.1215,0.0242,0.1722,0.2573,0.1667,0.0456,0,26,female,1,129.88,22221,1
57,unlimited,unlimited,15,3,0.059,0.0551,0,0,0.0057,0,0.0628,0,0.7946,0,0.0228,47,male,1,320.22,222212212222122000,1
58,all,five,4,1,0.0157,0.0157,0.0157,0.0157,0.0157,0.0733,0.1023,0.1512,0.3869,0.2076,0,30,female,1,282.01,22122,1
58,all,prior,0,0,0,0.0849,0.1045,0.2072,0.2585,0.345,0,0,0,0,0,30,female,1,282.01,,1
58,all,unlimited,20,5,0,0,0,0,0,0,0,0.3833,0.5224,0.0942,0,30,female,1,282.01,2212222212212220000000000,1
59,five,five,4,1,0,0,0,0.0133,0.0333,0.157,0.2873,0.4623,0.0333,0.0133,0,37,female,1,168.6,22122,1
60,five,five,4,1,0.1373,0.0754,0.0989,0.007,0.0625,0.0006,0.0793,0.4008,0.0857,0.0027,0.0497,25,male,1,82.52,21222,1
61,unlimited,unlimited,21,5,0,0.0082,0.0016,0,0.041,0.0541,0.059,0.0377,0.795,0.0033,0,42,male,1,311.54,22212212222212200000000000,1
62,unlimited,unlimited,5,1,0.0523,0.0333,0.0956,0.0333,0.0713,0,0,0,0.6931,0.0212,0,23,male,0,84.84,222212,1
63,all,five,4,1,0.0282,0.1579,0,0.0113,0.1842,0.1673,0.0282,0.1805,0.0226,0.0602,0.1598,26,male,1,259.7,22122,0
63,all,prior,0,0,0.0787,0.0745,0.0476,0.1139,0.1967,0.2029,0.058,0.0393,0.1284,0.0124,0.0476,26,male,1,259.7,,0
63,all,unlimited,26,7,0.0519,0.1299,0.0065,0.1991,0.0996,0.0606,0.1494,0.0541,0.0996,0,0.1494,26,male,1,259.7,221222221222221000000000000000000,0
64,unlimited,unlimited,16,4,0.003,0.0015,0.0002,0.0024,0.003,0.0005,0.0194,0.0844,0.8005,0.0844,0.0007,36,female,1,272.32,22212222212122200000,1
65,all,five,4,1,0,0,0,0,0,0,0,0.3167,0.3633,0.32,0,24,male,1,301.75,22221,1
65,all,prior,0,0,0.0007,0.007,0.03,0.0926,0.2211,0.2752,0.2196,0.1135,0.0315,0.0081,0.0007,24,male,1,301.75,,1
65,all,unlimited,12,3,0.0004,0,0,0,0,0,0,0,0.9996,0,0,24,male,1,301.75,222211222212222,1
66,all,five,4,1,0.0028,0.0078,0.0334,0.0545,0.0914,0.14,0.2268,0.2912,0.1197,0.0268,0.0057,36,male,1,679.54,12222,1
66,all,prior,0,0,0.0199,0.1241,0.2241,0.27,0.1689,0.1392,0.0199,0.0199,0.0096,0.0036,0.001,36,male,1,679.54,,1
66,all,unlimited,19,5,0.0022,0.0002,0.0005,0.0019,0.0206,0.0915,0.1657,0.2365,0.3695,0.1106,0.0009,36,male,1,679.54,122221222222212000000000,1
67,all,five,4,1,0.0196,0.0753,0.0452,0.1265,0.0663,0.1099,0.0979,0.1491,0.1295,0.131,0.0497,36,female,1,338.43,21222,0
67,all,prior,0,0,0.0938,0.0897,0.0939,0.0906,0.0909,0.0899,0.0947,0.0888,0.0879,0.0842,0.0956,36,female,1,338.43,,1
67,all,unlimited,8,2,0.0096,0.0032,0.0093,0.0467,0.1048,0.1453,0.171,0.1825,0.1865,0.1405,0.0006,36,female,1,338.43,2122212222,1
68,five,five,4,1,0.0033,0.0033,0.0033,0.0033,0.0033,0.0212,0.1838,0.2939,0.3861,0.095,0.0033,19,male,1,311.12,21222,1
69,all,five,4,1,0.0107,0.0322,0.0574,0.0107,0.0107,0.0322,0.0682,0.701,0.0556,0.0107,0.0107,19,female,1,170.3,12222,1
69,all,prior,0,0,0.0163,0.0163,0.0163,0.4796,0.2982,0.0915,0.0163,0.0163,0.0163,0.0163,0.0163,19,female,1,170.3,,1
69,all,unlimited,8,2,0.014,0.014,0.014,0.0756,0.014,0.067,0.0165,0.014,0.6842,0.014,0.0727,19,female,1,170.3,1222222122,1
70,five,five,4,1,0,0,0.002,0,0,0,0.0083,0,0.0067,0.983,0,27,female,1,81.54,22122,1
71,all,five,4,1,0.0131,0.0131,0.0064,0.0161,0.0297,0.0566,0.0882,0.147,0.315,0.2008,0.1142,19,male,1,625.29,22221,1
71,all,prior,0,0,0.0209,0.0309,0.0442,0.0895,0.1888,0.2719,0.184,0.0923,0.035,0.025,0.0175,19,male,1,625.29,,1
71,all,unlimited,44,11,0.0027,0.0055,0.0022,0.0013,0.0013,0.0147,0.0613,0.1296,0.5949,0.1389,0.0475,19,male,1,625.29,2222122221122220000000000000000000000000000000000000000,1
72,five,five,4,1,0.0037,0.019,0.037,0.0564,0.1395,0.1218,0.1919,0.1902,0.1415,0.0958,0.0033,30,female,1,334.47,22212,1
73,unlimited,unlimited,12,3,0.0003,0.0018,0.0025,0.002,0.0026,0.0118,0.0118,0.3558,0.5993,0.0118,0.0001,32,female,1,184.81,122222222121222,1
74,five,five,4,1,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.896,0.0003,22,female,1,151.09,22221,1
75,unlimited,unlimited,19,5,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.2188,0.5545,0.208,0.0023,20,male,1,213.75,222212122221222000000000,1
76,all,five,4,1,0.0028,0.0005,0.0013,0.0022,0.0002,0.0027,0.0016,0.3434,0.4788,0.1605,0.0059,26,male,0,435.97,22221,1
76,all,prior,0,0,0.0031,0.0011,0.2313,0.1289,0.1291,0.123,0.1297,0.1217,0.1297,0.0008,0.0017,26,male,0,435.97,,1
76,all,unlimited,12,3,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.1007,0.7578,0.106,0.0044,26,male,0,435.97,222212212221222,1
77,five,five,4,1,0,0.0041,0.0075,0.0147,0.0213,0.026,0.0345,0.0477,0.7939,0.0493,0.001,27,male,1,322,12222,1
78,unlimited,unlimited,8,2,0,0,0.029,0.0583,0.1196,0.1702,0.2277,0.3953,0,0,0,41,female,1,626.88,2122222122,1
79,all,five,4,1,0,0,0,0,0,0,0,0.2584,0.4802,0.2614,0,31,male,1,566.29,22122,1
79,all,prior,0,0,0.0361,0,0,0.0737,0,0.0839,0.0092,0.3328,0.2586,0.2058,0,31,male,1,566.29,,1
79,all,unlimited,20,5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.1825,0.8085,0.001,0.001,31,male,1,566.29,2212212222122220000000000,1
80,five,five,4,1,0.02,0.0433,0.0567,0.0733,0.102,0.1188,0.1447,0.1857,0.2155,0.02,0.02,25,male,1,211.16,22221,1
81,all,five,4,1,0,0,0,0,0,0,0,0.0013,0.9987,0,0,30,female,1,127.97,12222,1
81,all,prior,0,0,0.0517,0,0,0.0224,0.7933,0.0017,0.0086,0,0.0655,0.0569,0,30,female,1,127.97,,1
81,all,unlimited,4,1,0,0,0,0,0,0,0.0066,0,0.9934,0,0,30,female,1,127.97,12222,1
82,five,five,4,1,0.0911,0.1215,0.0987,0.043,0.043,0.1082,0.043,0.043,0.1537,0.1542,0.1006,21,male,1,92.68,22122,1
83,all,five,4,1,0.1928,0.1342,0.1423,0.0996,0.124,0.0325,0.0834,0.0122,0,0.0976,0.0813,53,female,1,182.01,22212,1
83,all,prior,0,0,0.0789,0.1068,0.0743,0.0697,0.1254,0.0433,0.0681,0.1471,0.0913,0.0882,0.1068,53,female,1,182.01,,0
83,all,unlimited,13,3,0.0977,0.0467,0.3822,0.1019,0.004,0.0255,0.0106,0.1338,0.1147,0.0106,0.0722,53,female,1,182.01,2221221222222120,1
84,all,five,4,1,0.0033,0.0143,0.0413,0.067,0.094,0.1237,0.155,0.164,0.2216,0.1125,0.0033,18,female,1,418.76,22212,1
84,all,prior,0,0,0.0298,0.0067,0.0221,0.0067,0.12,0.4796,0.1309,0.069,0.0067,0.0975,0.0311,18,female,1,418.76,,1
84,all,unlimited,16,4,0,0,0.015,0.038,0.0725,0.0899,0.11,0.2474,0.2709,0.1563,0,18,female,1,418.76,22212122222212200000,1
85,all,five,4,1,0.0097,0.0097,0.0097,0.0097,0.0157,0.0097,0.0097,0.0097,0.8973,0.0097,0.0097,27,male,1,315.7,12222,1
85,all,prior,0,0,0.0765,0.0747,0.2515,0.0747,0.0747,0.0747,0.0747,0.0747,0.0747,0.0747,0.0747,27,male,1,315.7,,1
85,all,unlimited,12,3,0,0,0,0,0.0013,0.0354,0,0.0159,0.9474,0,0,27,male,1,315.7,122222222122212,1
86,five,five,4,1,0,0.0006,0,0,0,0,0.0019,0.9976,0,0,0,55,female,1,88.9,12222,1
87,five,five,4,1,0.004,0.004,0.004,0.004,0.004,0.1499,0.1964,0.3363,0.1836,0.11,0.004,36,male,1,154.52,22122,1
88,unlimited,unlimited,5,1,0.0115,0.0672,0,0.0368,0.0452,0.0148,0.5857,0.0655,0.0672,0.1061,0,27,female,1,56.07,221222,1
89,five,five,4,1,0.0182,0.0083,0.1061,0.058,0.1177,0.0481,0.1443,0.1459,0.063,0.1327,0.1575,35,male,1,70.91,12222,0
90,unlimited,unlimited,6,1,0.0257,0.0112,0,0.0581,0.0112,0,0.7907,0.0435,0,0,0.0597,53,female,1,338.72,2221222,1
91,all,five,4,1,0.0251,0.0528,0.001,0.001,0.0374,0.0343,0.0359,0.001,0.7962,0.0143,0.001,17,male,1,258.96,22221,1
91,all,prior,0,0,0.05,0.05,0.05,0.05,0.05,0.5,0.05,0.05,0.05,0.05,0.05,17,male,1,258.96,,1
91,all,unlimited,16,4,0,0,0,0,0,0,0,0.0035,0.9965,0,0,17,male,1,258.96,22221222122222100000,1
92,unlimited,unlimited,8,2,0.0278,0.0386,0.0033,0.0116,0.0044,0.0206,0.191,0.1866,0.4929,0.0062,0.017,26,male,1,235.2,2222122221,1
93,unlimited,unlimited,80,20,0.005,0.005,0.005,0.1232,0.0549,0.0795,0.0514,0.0252,0.5146,0.1162,0.0199,29,female,1,1073.98,2222121222221220000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
94,all,five,4,1,0,0,0,0,0,0,0.0467,0.2614,0.4286,0.2633,0,26,female,1,263,12222,1
94,all,prior,0,0,0.0183,0.0528,0.0837,0.1028,0.1442,0.1823,0.1483,0.1122,0.084,0.057,0.0144,26,female,1,263,,1
94,all,unlimited,22,5,0.0013,0.0033,0.0033,0.0004,0.0023,0.0012,0.0478,0.0928,0.7824,0.0653,0,26,female,1,263,122222122222122000000000000,1
95,all,five,4,1,0.0295,0.0295,0.0779,0.0968,0.0842,0.1474,0.04,0.2084,0.0316,0.0737,0.1811,20,female,1,152.52,22212,0
95,all,prior,0,0,0.0756,0.037,0.0403,0.1529,0.1597,0.1412,0.0824,0.037,0.0958,0.0118,0.1664,20,female,1,152.52,,0
95,all,unlimited,5,1,0.0425,0.1417,0.1307,0.1575,0.0819,0.0929,0.0016,0.0693,0.1307,0.1339,0.0173,20,female,1,152.52,222122,0
96,all,five,4,1,0.0025,0.0025,0.0008,0.0003,0.0007,0.0942,0.2653,0.2671,0.264,0.0993,0.0033,26,male,1,175.45,21222,1
96,all,prior,0,0,0.0139,0.1578,0.1206,0.1531,0.0023,0.1972,0.0023,0.0116,0.1856,0.1485,0.007,26,male,1,175.45,,0
96,all,unlimited,13,3,0,0,0,0,0,0,0,0.2564,0.5492,0.1944,0,26,male,1,175.45,2122222212122220,1
97,unlimited,unlimited,8,2,0.0042,0.0042,0.0042,0.0042,0.0042,0.0308,0.1963,0.3446,0.3987,0.0042,0.0042,24,male,1,179.38,1222221222,1
98,unlimited,unlimited,7,2,0,0,0,0,0,0,0,0.2714,0.7286,0,0,25,female,1,139.72,122222122,1
99,all,five,4,1,0.0029,0.0029,0.0029,0.0029,0.0029,0.0676,0.045,0.1422,0.5181,0.2096,0.0029,42,male,1,164.51,12222,1
99,all,prior,0,0,0.0347,0.0347,0.0347,0.0347,0.0347,0.2962,0.0347,0.0347,0.0347,0.2095,0.2169,42,male,1,164.51,,1
99,all,unlimited,10,2,0.0063,0.0761,0.0422,0.0063,0.0613,0.0171,0.0672,0.0422,0.2851,0.3899,0.0063,42,male,1,164.51,122222212222,1
100,all,five,4,1,0.0156,0.0274,0.0361,0.0688,0.1015,0.1248,0.1239,0.1243,0.1286,0.1263,0.1226,39,female,1,407.1,22212,1
100,all,prior,0,0,0.0938,0.0974,0.0995,0.0905,0.0894,0.0919,0.0776,0.1033,0.083,0.0879,0.0855,39,female,1,407.1,,1
100,all,unlimited,22,6,0,0,0,0.0133,0.0367,0.0397,0.1825,0.4046,0.3232,0,0,39,female,1,407.1,2221221222212220000000000000,1
101,five,five,4,1,0.0098,0.0632,0.2191,0.0788,0.2036,0.1033,0.0877,0.0513,0.0387,0.012,0.1323,52,female,1,56.07,22212,1
102,five,five,4,1,0.076,0.1025,0.1306,0.0264,0.0446,0.157,0.124,0.0876,0.1521,0.0843,0.0149,26,female,1,70.16,12222,0
103,unlimited,unlimited,16,4,0.0018,0.001,0.0011,0.0006,0.0389,0.0694,0.1577,0.289,0.2953,0.0927,0.0525,26,male,1,139.45,21222212222221200000,1
104,unlimited,unlimited,8,2,0.0243,0.0243,0.0243,0.0243,0.0243,0.0257,0.0243,0.0243,0.7559,0.0243,0.0243,28,female,1,226.74,1222222122,1
105,unlimited,unlimited,19,5,0.0011,0.0954,0.0977,0.0993,0.1803,0.1836,0.1434,0.1397,0.0199,0.0199,0.0199,20,male,1,198.19,222122221222122000000000,1
106,all,five,4,1,0.062,0.188,0.078,0.004,0.172,0.134,0.136,0.074,0.022,0.13,0,25,male,1,83.66,22221,0
106,all,prior,0,0,0.0598,0.0495,0.0144,0.1464,0.1526,0.0351,0.1299,0.0474,0.0289,0.1835,0.1526,25,male,1,83.66,,0
106,all,unlimited,5,1,0.0034,0.1424,0.0084,0.0553,0.1206,0.1106,0.057,0.1106,0.1608,0.1106,0.1206,25,male,1,83.66,222212,0
107,five,five,4,1,0.0003,0.0003,0.0366,0.0003,0.0003,0.0003,0.2349,0.0003,0.5944,0.1318,0.0003,32,male,1,121.92,21222,1
108,all,five,4,1,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.2989,0.0113,0.5991,0.0113,0.0113,24,male,1,157.2,12222,1
108,all,prior,0,0,0.0113,0.0498,0.2056,0.3917,0.1922,0.043,0.0113,0.0113,0.0113,0.061,0.0113,24,male,1,157.2,,1
108,all,unlimited,14,4,0.0208,0.0285,0.0502,0.044,0.0856,0.0022,0.2943,0.4012,0.0022,0.0687,0.0022,24,male,1,157.2,122221222222221000,1
109,unlimited,unlimited,4,1,0.1161,0.1915,0.0387,0.0387,0.0851,0.1779,0.0387,0.0909,0.1451,0.0677,0.0097,21,male,1,21.97,22212,0
