"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated"
"1",4,"five","five",4,1,0.0437,0.104,0.1206,0.0166,0.1102,0.104,0.0146,0.1767,0.0936,0.0125,0.2037,44,"female",1,214.8,21222,0
"2",8,"unlimited","unlimited",20,5,0,0.0146,0.0019,0.0422,0.0104,0,0,0.1015,0.8062,0.0231,0,42,"male",0,381.7,1.22222122222122e+24,1
"3",9,"all","five",4,1,0.0375,0.0079,0.1795,0.0394,0.1105,0.1598,0.0158,0.0947,0.1302,0.1874,0.0375,22,"male",1,115.64,22122,0
"4",9,"all","prior",0,0,0.1014,0.0812,0.1014,0.1,0.0406,0.0681,0.1261,0.1319,0.0797,0.1174,0.0522,22,"male",1,115.64,NA,0
"5",9,"all","unlimited",11,2,0.1105,0.0559,0.0253,0.0896,0.1202,0.0623,0.0173,0.088,0.1776,0.1073,0.1459,22,"male",1,115.64,2212221222222,1
"6",21,"five","five",4,1,0.001,0.001,0.001,0.0032,8e-04,0.0025,0.001,0.0865,0.8649,0.0367,0.0015,32,"male",0,167.49,21222,1
"7",26,"all","five",4,1,0.0133,0.0661,0.3959,0.0133,0.0133,0.0133,0.0133,0.3908,0.047,0.0133,0.0203,41,"male",1,122.89,12222,1
"8",26,"all","prior",0,0,0.0409,0.0014,0.495,0.2461,0.0467,0.0696,0.0014,0.0166,0.0338,0.0014,0.0471,41,"male",1,122.89,NA,1
"9",26,"all","unlimited",4,1,0.0975,0.1328,0.0824,0.0958,0.0218,0.163,0.0891,0.0168,0.1429,0.1529,0.005,41,"male",1,122.89,12222,0
"10",41,"unlimited","unlimited",10,3,0.1565,0.1197,0.1455,0.0147,0.011,0.1547,0.0092,0.1142,0.1676,0.0018,0.105,40,"female",0,85.99,2212222221212,0
"11",49,"all","five",4,1,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.468,0.46,0.008,0.008,26,"female",0,350.07,21222,1
"12",49,"all","prior",0,0,0.0522,0.1007,0.0138,0.1141,0.3636,0.0188,0.1124,0.004,0.0238,0.0589,0.1375,26,"female",0,350.07,NA,1
"13",49,"all","unlimited",12,3,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0487,0.3807,0.5173,0.0067,26,"female",0,350.07,212222222122221,1
"14",51,"all","five",4,1,0.1342,0.0249,0.1354,0.0999,0.1163,0.0371,0.0122,0.1291,0.0901,0.0876,0.1333,31,"male",1,154.58,22122,1
"15",51,"all","prior",0,0,0.0231,0.1497,0.125,0.1049,0.037,0.071,0.0756,0.1173,0.0972,0.1512,0.0478,31,"male",1,154.58,NA,0
"16",51,"all","unlimited",12,3,0.1096,0.0597,0.1423,0,0.1372,0.0201,0.07,0.1634,0.1782,0.0597,0.0597,31,"male",1,154.58,221222212221222,1
"17",62,"unlimited","unlimited",5,1,0.0523,0.0333,0.0956,0.0333,0.0713,0,0,0,0.6931,0.0212,0,23,"male",0,84.84,222212,1
"18",63,"all","five",4,1,0.0282,0.1579,0,0.0113,0.1842,0.1673,0.0282,0.1805,0.0226,0.0602,0.1598,26,"male",1,259.7,22122,0
"19",63,"all","prior",0,0,0.0787,0.0745,0.0476,0.1139,0.1967,0.2029,0.058,0.0393,0.1284,0.0124,0.0476,26,"male",1,259.7,NA,0
"20",63,"all","unlimited",26,7,0.0519,0.1299,0.0065,0.1991,0.0996,0.0606,0.1494,0.0541,0.0996,0,0.1494,26,"male",1,259.7,2.21222221222221e+32,0
"21",67,"all","five",4,1,0.0196,0.0753,0.0452,0.1265,0.0663,0.1099,0.0979,0.1491,0.1295,0.131,0.0497,36,"female",1,338.43,21222,0
"22",67,"all","prior",0,0,0.0938,0.0897,0.0939,0.0906,0.0909,0.0899,0.0947,0.0888,0.0879,0.0842,0.0956,36,"female",1,338.43,NA,1
"23",67,"all","unlimited",8,2,0.0096,0.0032,0.0093,0.0467,0.1048,0.1453,0.171,0.1825,0.1865,0.1405,6e-04,36,"female",1,338.43,2122212222,1
"24",76,"all","five",4,1,0.0028,5e-04,0.0013,0.0022,2e-04,0.0027,0.0016,0.3434,0.4788,0.1605,0.0059,26,"male",0,435.97,22221,1
"25",76,"all","prior",0,0,0.0031,0.0011,0.2313,0.1289,0.1291,0.123,0.1297,0.1217,0.1297,8e-04,0.0017,26,"male",0,435.97,NA,1
"26",76,"all","unlimited",12,3,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.1007,0.7578,0.106,0.0044,26,"male",0,435.97,222212212221222,1
"27",83,"all","five",4,1,0.1928,0.1342,0.1423,0.0996,0.124,0.0325,0.0834,0.0122,0,0.0976,0.0813,53,"female",1,182.01,22212,1
"28",83,"all","prior",0,0,0.0789,0.1068,0.0743,0.0697,0.1254,0.0433,0.0681,0.1471,0.0913,0.0882,0.1068,53,"female",1,182.01,NA,0
"29",83,"all","unlimited",13,3,0.0977,0.0467,0.3822,0.1019,0.004,0.0255,0.0106,0.1338,0.1147,0.0106,0.0722,53,"female",1,182.01,2221221222222120,1
"30",89,"five","five",4,1,0.0182,0.0083,0.1061,0.058,0.1177,0.0481,0.1443,0.1459,0.063,0.1327,0.1575,35,"male",1,70.91,12222,0
"31",95,"all","five",4,1,0.0295,0.0295,0.0779,0.0968,0.0842,0.1474,0.04,0.2084,0.0316,0.0737,0.1811,20,"female",1,152.52,22212,0
"32",95,"all","prior",0,0,0.0756,0.037,0.0403,0.1529,0.1597,0.1412,0.0824,0.037,0.0958,0.0118,0.1664,20,"female",1,152.52,NA,0
"33",95,"all","unlimited",5,1,0.0425,0.1417,0.1307,0.1575,0.0819,0.0929,0.0016,0.0693,0.1307,0.1339,0.0173,20,"female",1,152.52,222122,0
"34",96,"all","five",4,1,0.0025,0.0025,8e-04,3e-04,7e-04,0.0942,0.2653,0.2671,0.264,0.0993,0.0033,26,"male",1,175.45,21222,1
"35",96,"all","prior",0,0,0.0139,0.1578,0.1206,0.1531,0.0023,0.1972,0.0023,0.0116,0.1856,0.1485,0.007,26,"male",1,175.45,NA,0
"36",96,"all","unlimited",13,3,0,0,0,0,0,0,0,0.2564,0.5492,0.1944,0,26,"male",1,175.45,2122222212122220,1
"37",102,"five","five",4,1,0.076,0.1025,0.1306,0.0264,0.0446,0.157,0.124,0.0876,0.1521,0.0843,0.0149,26,"female",1,70.16,12222,0
"38",106,"all","five",4,1,0.062,0.188,0.078,0.004,0.172,0.134,0.136,0.074,0.022,0.13,0,25,"male",1,83.66,22221,0
"39",106,"all","prior",0,0,0.0598,0.0495,0.0144,0.1464,0.1526,0.0351,0.1299,0.0474,0.0289,0.1835,0.1526,25,"male",1,83.66,NA,0
"40",106,"all","unlimited",5,1,0.0034,0.1424,0.0084,0.0553,0.1206,0.1106,0.057,0.1106,0.1608,0.1106,0.1206,25,"male",1,83.66,222212,0
"41",109,"unlimited","unlimited",4,1,0.1161,0.1915,0.0387,0.0387,0.0851,0.1779,0.0387,0.0909,0.1451,0.0677,0.0097,21,"male",1,21.97,22212,0
"42",116,"all","five",4,1,0.0976,0.0089,0.0532,0.051,0.0377,0.0288,0.1463,0.1552,0.1619,0.1885,0.071,25,"male",1,327.02,22221,0
"43",116,"all","prior",0,0,0.0333,0.26,0.2374,0.2714,0.1254,0.06,0.0021,0.0014,0.0056,0.0033,0,25,"male",1,327.02,NA,1
"44",116,"all","unlimited",9,2,0,0,0,0,0,0.0641,0.3033,0.348,0.2446,0.04,0,25,"male",1,327.02,22221221222,1
"45",118,"five","five",4,1,0.1171,0.0836,0.1729,0.0539,0.0781,0.0019,0.052,0.0874,0.1859,0.0112,0.1561,36,"female",1,73.87,22221,0
"46",127,"five","five",4,1,0.0511,0.1454,0.0079,0.0472,0.1611,0.11,0.0668,0.1002,0.0059,0.11,0.1945,24,"male",1,165.03,12222,0
"47",128,"five","five",4,1,0,0,0.1921,0,0,0,0.7148,0,0,0,0.0931,34,"female",0,92.86,22122,1
"48",136,"all","five",4,1,0.1949,0.0113,0.0898,0.0571,0.1029,0.1504,0.0735,0.0997,0.0669,0.134,0.0195,38,"female",1,302.38,12222,1
"49",136,"all","prior",0,0,0.1097,0.089,0.1542,0.0652,0.132,0.0715,0.1176,0.1113,0.0811,0.0016,0.0668,38,"female",1,302.38,NA,0
"50",136,"all","unlimited",56,13,0.0656,0.0011,0.0011,0.0011,0.0034,0.049,0.1742,0.7011,0.0011,0.0011,0.0011,38,"female",1,302.38,1.22222222121222e+68,1
"51",141,"five","five",4,1,0.0743,0.1848,0.1105,0.0914,0.0438,0.1067,0.0286,0.0381,0.1524,0.0076,0.1619,31,"male",1,131.79,22122,0
"52",145,"unlimited","unlimited",10,2,0.1389,0.0694,0.1329,0.0238,0.1448,0.0734,0.125,0.0159,0.0317,0.0952,0.1488,20,"female",1,265.22,222212122222,0
"53",147,"five","five",4,1,0.0173,0.0809,0.1484,0.1869,0.0116,0.1175,0.0096,0.104,0.131,0.1445,0.0482,22,"female",1,64.43,22122,0
